"ID","Personality_PSWQ_Concerns","Personality_RSTPQ_BIS","Personality_BISBAS_BIS","Personality_BFI_Anxiety","Covariate_Gender","Covariate_Age","Covariate_BDI_Depression","Covariate_BFI_Extraversion","Covariate_BFI_OpenMindedness","Covariate_BFI_Conscientiousness","Covariate_BFI_Agreeableness","Personality_Z_AV_notweighted","Personality_Z_AV_ItemNr","Personality_Z_AV_Reliability","Personality_PCA","Personality_FactorAnalysis"
"sub-AN08AT08",46,48,3,3,1,26,1,3.16666666666667,4.08333333333333,3.91666666666667,3.75,-0.135351743987759,-0.293373220898916,-0.149772154888918,"-6.87003175640043","-0.14690962007643"
"sub-AR06AS06",56,63,3.42857142857143,4.25,2,26,NA,3.75,2.25,4.33333333333333,3.5,0.901659068658963,0.687355860311967,0.868414480974436,"10.8951912468722","0.925507944225571"
"sub-AR07AN21",54,59,3.71428571428571,3.75,1,21,1,3.33333333333333,4.5,4.83333333333333,3.75,0.751295511868903,0.518113987809582,0.726393209146179,"6.62631557708717","0.760256374399218"
"sub-AR07IM16",69,72,3.85714285714286,4.75,2,24,7,4,3.5,3,4.66666666666667,1.64982023039531,1.46092675983211,1.62426392991121,"26.4221430712332","1.75897998567322"
"sub-AR07SA26",63,60,3.85714285714286,3.25,2,27,18,2.66666666666667,3.25,3.25,4.08333333333333,0.843912473382915,0.754503573805311,0.852671230724157,"13.5936701869349","0.942652384084189"
"sub-AR10IO04",37,43,2.14285714285714,3.25,1,20,0,3.25,3.5,3.83333333333333,3.16666666666667,-0.676120445467222,-0.857132329442313,-0.711831425959035,"-16.7312498426861","-0.740638414583599"
"sub-AS06AR20",41,47,2.71428571428571,2.75,2,22,0,4,3.83333333333333,3.5,4.58333333333333,-0.445426427670698,-0.540515255793063,-0.455944212605386,"-11.082582382352","-0.484465459276843"
"sub-AS06FR30",70,78,3.28571428571429,4.5,1,26,NA,4.5,4.5,3.83333333333333,3.08333333333333,1.46567327377372,1.53298199891119,1.46573863974835,"31.395784670201","1.61096483313806"
"sub-AT05LI18",34,43,2.71428571428571,2,2,21,0,2.83333333333333,2.75,3.83333333333333,4.08333333333333,-0.887279545046607,-0.922702536690956,-0.884228413656668,"-18.8472216895177","-0.969104291242404"
"sub-AT06ED25",45,43,3.14285714285714,4,1,19,NA,4.5,4.16666666666667,4.66666666666667,4.33333333333333,0.124362818535577,-0.355575489378941,0.0605098192156499,"-11.1122774251639","0.0735308629221636"
"sub-AU05IN13",64,66,3.57142857142857,3.75,1,23,17,3.83333333333333,3.5,4,4.08333333333333,1.01242890510117,0.967796464084525,1.01393423242813,"18.6001256233221","1.11603806170958"
"sub-AU06EL20",42,60,3.57142857142857,3.5,1,23,10,4.08333333333333,3.5,4.08333333333333,4.16666666666667,0.404405656625381,0.202085820789556,0.373591865922199,"-1.02097956634256","0.315045180409343"
"sub-AU07ND25",28,31,1.42857142857143,2,2,23,2,3.41666666666667,2.58333333333333,3.91666666666667,3.83333333333333,-1.75663087977079,-1.77716181877672,-1.76489044379834,"-31.6573996280209","-1.83720483208196"
"sub-AU09GE22",58,75,4,4,1,26,8,2.08333333333333,3.58333333333333,3.16666666666667,3.91666666666667,1.32112967074215,1.25386318496284,1.31062566715309,"20.8946768210626","1.34213782319429"
"sub-AY05AN24",36,43,2.57142857142857,3.25,2,21,1,3.33333333333333,3.41666666666667,3.91666666666667,3.08333333333333,-0.51772927341208,-0.782125780402932,-0.559643511219048,"-17.4163211157541","-0.608555014851969"
"sub-AZ05AT02",73,76,3.85714285714286,4.5,1,20,13,4.16666666666667,4.58333333333333,4.66666666666667,4.5,1.72209986580561,1.67008049725501,1.71800255322981,"32.0647572413068","1.8729520793924"
"sub-BE04NZ10",46,65,3.28571428571429,3,2,24,2,2.08333333333333,3.08333333333333,2.83333333333333,3.41666666666667,0.298867710876769,0.354201952417799,0.303859324067,"5.32262900761919","0.268813820667321"
"sub-BE05ED23",56,70,3.71428571428571,4,1,29,NA,3,4.08333333333333,3.83333333333333,4.5,1.07189695051071,0.967963059188891,1.05475067589614,"15.9114714988145","1.08803121453823"
"sub-BE06IO12",31,40,2.85714285714286,2,2,23,3,3.33333333333333,4,3.75,4.16666666666667,-0.940950847028735,-1.06520286042825,-0.948097233186747,"-23.081924307692","-1.05479034604443"
"sub-BIRULD31",42,45,3,2.25,2,29,NA,3.16666666666667,4.16666666666667,4.08333333333333,3.83333333333333,-0.501567624468671,-0.568337169636844,-0.496417646113283,"-11.8299014433765","-0.528770736010705"
"sub-BL05RT22",58,62,3.42857142857143,3.75,1,26,NA,4,4.08333333333333,3.41666666666667,4.08333333333333,0.764848004009969,0.651840285347382,0.753250408503706,"11.5533714266438","0.820716660172943"
"sub-BY08RD24",43,46,2.57142857142857,3,1,20,7,4.41666666666667,3.41666666666667,4,2.91666666666667,-0.406982647300954,-0.53414196381734,-0.42408443506042,"-10.4025113026326","-0.428142359223909"
"sub-CH04ER19",66,70,3.71428571428571,4.25,1,23,NA,2.75,4.25,4.25,3.66666666666667,1.34020100521234,1.23638712084673,1.32871994610753,"22.8799242305788","1.44157607759092"
"sub-CH04OB30",38,47,2.57142857142857,3,2,23,NA,3.25,3,1.91666666666667,3.58333333333333,-0.483484380533721,-0.621656513420915,-0.507057942122773,"-13.1656953667597","-0.550989013779515"
"sub-CH05AN22",38,50,2.57142857142857,2.5,2,23,2,3.16666666666667,4,4.33333333333333,4.16666666666667,-0.583989695326314,-0.569070052831835,-0.583738554842058,"-11.0323556537837","-0.639512082234061"
"sub-CH05EL08",39,55,2,3.25,2,21,NA,3.33333333333333,3.5,2.66666666666667,3.75,-0.474200406877292,-0.431204602437722,-0.489356977099148,"-6.74145853791339","-0.519638212554122"
"sub-CH05ER25",35,46,2.71428571428571,2.25,2,18,NA,4.66666666666667,3.83333333333333,3.66666666666667,2.75,-0.734376462447456,-0.770768712521186,-0.735720501965385,"-15.9923558868971","-0.814881113916363"
"sub-CH05NK28",47,54,2.85714285714286,2.25,2,24,NA,3.5,3.58333333333333,3.08333333333333,3.33333333333333,-0.298350841372086,-0.171972616466838,-0.271941001400241,"-1.90248847269769","-0.277667126194748"
"sub-CH06IM14",49,51,2.71428571428571,2.75,1,25,NA,3.41666666666667,3.75,4.41666666666667,4.08333333333333,-0.218946965154592,-0.208990868034976,-0.211695481742356,"-2.64748074375172","-0.186166780445146"
"sub-CH06IN24",50,71,3.28571428571429,3.5,2,24,16,3.25,3.08333333333333,3.66666666666667,3.83333333333333,0.642708618607013,0.706754071198223,0.642028201671883,"12.4243490339396","0.633666267966125"
"sub-CH06LI22",51,59,3.14285714285714,3,1,23,NA,2.83333333333333,4.25,4.08333333333333,3.16666666666667,0.223307647517069,0.237617108108245,0.229699041378433,"4.49823714973457","0.247388774565255"
"sub-CH06ND30",36,59,3.42857142857143,3.25,1,21,6,3.41666666666667,3.33333333333333,3.33333333333333,4.16666666666667,0.134449782783512,-0.0362821879050913,0.10443142837829,"-5.92588342367654","0.00271511023723565"
"sub-CH06NK10",40,44,2.71428571428571,3,1,23,NA,4.41666666666667,2.91666666666667,4.58333333333333,4.25,-0.442068826186,-0.642445661056001,-0.468044126097062,"-13.920426932236","-0.495659836964734"
"sub-CH06NK12",23,27,1.42857142857143,1,2,24,0,4.41666666666667,4.08333333333333,4.5,2.83333333333333,-2.23857959665668,-2.13566633868715,-2.2202255897271,"-38.0385611404757","-2.33695197121987"
"sub-CH06RT03",45,51,3.28571428571429,2.75,1,20,NA,3.83333333333333,3.75,3.16666666666667,3.91666666666667,-0.0584717257903214,-0.17389476323698,-0.0636490010521267,"-5.41689366928126","-0.0852637043319338"
"sub-CH06UT07",39,51,3,3.25,1,22,NA,3.58333333333333,4.5,2.83333333333333,3.66666666666667,-0.134587631516372,-0.336177278492685,-0.165876460086903,"-9.58311963809654","-0.218310813337282"
"sub-CH07AD15",55,56,3.71428571428571,3.5,1,26,1,3.91666666666667,4.75,4.41666666666667,4.08333333333333,0.636427171801693,0.414864634080697,0.619038351677213,"5.16343819554574","0.662439289719901"
"sub-CH07DO06",35,37,2.14285714285714,2.25,1,30,0,3.75,3.33333333333333,3.83333333333333,3.5,-1.13818729474937,-1.21100339668868,-1.14525524754121,"-22.458002700664","-1.19211356887383"
"sub-CH07IM11",24,27,2.42857142857143,1.75,2,29,3,2.83333333333333,3.33333333333333,3.75,4,-1.57121793151568,-1.80450514516687,-1.59192003433053,"-37.2915481967307","-1.72020401797764"
"sub-CH07LF13",31,30,2.71428571428571,2,1,20,0,3.75,2.5,4.33333333333333,3.83333333333333,-1.18593825910663,-1.44028538683457,-1.20477666540487,"-30.2534351725581","-1.28990493200811"
"sub-CH07LF18",47,60,2.85714285714286,3.75,2,23,NA,2.5,3.16666666666667,3.58333333333333,4.25,0.281941949461974,0.18321739924548,0.256737764159221,"2.44929721693771","0.260430735086909"
"sub-CH07NK17",65,76,3.42857142857143,3.75,1,26,22,2.58333333333333,4.66666666666667,2.75,4,1.15816132623096,1.3009887028714,1.17601389718998,"26.4603487404135","1.27249806329329"
"sub-CH07RK18",74,73,3,4.25,1,22,17,3.75,4.25,4.33333333333333,3.75,1.25241443909617,1.36813357500648,1.26511881205855,"30.5800339848222","1.4545621026031"
"sub-CH07US17",51,47,3,3,1,30,4,3.58333333333333,4,4,3.91666666666667,-0.0588500107549918,-0.205858671295342,-0.0667986478265653,"-4.10684769227337","-0.0240629655208241"
"sub-CH08LO21",38,56,2.42857142857143,1.75,2,24,NA,3.16666666666667,4.16666666666667,4.08333333333333,3.83333333333333,-0.766006163976611,-0.472011683620199,-0.726483928464541,"-6.7608065806205","-0.79847263467574"
"sub-CH09AS13",43,51,3,3,1,24,2,4,4,4.25,4.33333333333333,-0.136648488494414,-0.263810047064331,-0.151774350742072,"-6.80765342230652","-0.177013027862911"
"sub-CH09EN08",51,44,2.57142857142857,3,2,29,0,3.08333333333333,3.16666666666667,3.66666666666667,4.58333333333333,-0.292013923367361,-0.407797335051076,-0.299290475158032,"-6.26813159545767","-0.23885514275942"
"sub-CH09WE03",51,59,2.85714285714286,2.75,2,22,NA,3,3.5,4.08333333333333,3.41666666666667,0.0269049432610726,0.146382875814948,0.0463187477112013,"4.48244456505182","0.0690167440428545"
"sub-CH10ER14",38,44,2.57142857142857,3,2,23,NA,2.58333333333333,3.33333333333333,4.25,4,-0.539239749824978,-0.724246392916826,-0.566785327603094,"-15.3160563324723","-0.60549474496312"
"sub-CH10NG24",40,50,2.28571428571429,2.25,1,21,NA,3.16666666666667,3.25,3.58333333333333,3.41666666666667,-0.74235765705037,-0.611619814684246,-0.725965794286973,"-9.65615981738722","-0.761478020109738"
"sub-CK04NS18",70,64,3.71428571428571,3.75,1,22,NA,3.75,4.58333333333333,4.75,4.66666666666667,1.14849906760986,1.07857288382984,1.15516328539192,"21.3461578885751","1.30234800087901"
"sub-CK05EN08",34,44,2.57142857142857,3,1,25,NA,2.91666666666667,4.16666666666667,4,4.41666666666667,-0.61530923488886,-0.821615333798595,-0.649091436047728,"-18.1000331746307","-0.718306930256565"
"sub-CK05EN28",45,59,2.42857142857143,3.25,2,21,NA,3.33333333333333,3.66666666666667,2.75,3.41666666666667,-0.108347143572014,-0.0490159008606969,-0.113496858607289,"0.31257761707934","-0.117459180314156"
"sub-CK05ER27",61,65,3.42857142857143,3.25,1,22,NA,3.58333333333333,3.41666666666667,4.16666666666667,3.25,0.721394803015288,0.777453451597789,0.738299377117896,"15.7746937712386","0.816802730688482"
"sub-CK05RD15",23,56,1.85714285714286,2,2,26,NA,2.91666666666667,3.83333333333333,3.25,3.75,-1.20968111535239,-0.944608548153181,-1.19728042516698,"-17.2067730289748","-1.36371919111374"
"sub-CK06ED08",50,68,3.57142857142857,3,1,25,9,2.16666666666667,5,2.91666666666667,4.58333333333333,0.54896492744598,0.62039329563536,0.561069112559383,"10.2642487738046","0.542989367847696"
"sub-CK06IN16",32,76,2.85714285714286,2.25,2,20,23,2.16666666666667,3.66666666666667,1.83333333333333,3.16666666666667,-0.174738702225764,0.215219638196545,-0.142588081211932,"3.42691211776813","-0.301004125698741"
"sub-CK06ST11",57,71,3.14285714285714,4,2,23,4,3.75,4.08333333333333,2.58333333333333,3.83333333333333,0.872954720445616,0.894036875228208,0.864883742365882,"17.3096887812962","0.920687576516139"
"sub-CK06US15",60,54,3.42857142857143,3,1,19,7,4.16666666666667,3.66666666666667,4.41666666666667,3.75,0.419810735639454,0.351946615438922,0.43051843747909,"7.18553206005082","0.517230936872831"
"sub-CK07ER13",27,33,1.85714285714286,1.5,2,27,NA,4.33333333333333,4.91666666666667,2.91666666666667,4.33333333333333,-1.71733014560532,-1.6837654356469,-1.70929227027108,"-30.9259181766837","-1.81181307786608"
"sub-CK07NK21",68,76,4,4.5,1,24,NA,3.25,3.83333333333333,3.5,3.08333333333333,1.68614919058279,1.58148558257274,1.67270806495773,"28.5884271677661","1.78536566312726"
"sub-CZ05ND22",52,54,3,3.25,1,26,1,4.16666666666667,2.66666666666667,3,3.58333333333333,0.168393564232501,0.0828616588689766,0.161345777838479,"1.61516606463082","0.202834520050022"
"sub-DA06AN05",52,72,2.85714285714286,3.5,2,26,7,3.5,3.16666666666667,2.91666666666667,3.33333333333333,0.521919940914927,0.690286383877921,0.530325942536494,"14.5222015061181","0.547954491619058"
"sub-DA08AN22",40,65,2.85714285714286,3.5,1,20,NA,3.58333333333333,3.5,4.33333333333333,3.91666666666667,0.163615624043683,0.158803175742153,0.144043717748509,"1.1527620596467","0.0823378963103104"
"sub-DADARE11",24,49,2.42857142857143,3.25,2,25,1,2.83333333333333,3.75,2.16666666666667,2.83333333333333,-0.69356317112825,-0.902169105476357,-0.744695212876022,"-21.471170689961","-0.891408923716762"
"sub-DE04LD04",34,40,2.28571428571429,2,2,25,NA,3.66666666666667,3.08333333333333,3.66666666666667,4,-1.12044345765897,-1.12464120044669,-1.11672024098813,"-21.008505592702","-1.183896468481"
"sub-DE05LI03",43,60,2.71428571428571,3,2,21,7,4,3.41666666666667,3.66666666666667,4.25,-0.0876547428347221,-0.0222729314164797,-0.0877684888685413,"-0.363852483482875","-0.120353465015428"
"sub-DE06EM24",56,53,2.85714285714286,1.75,2,29,10,4.16666666666667,4.66666666666667,4.08333333333333,3.08333333333333,-0.302040307159285,-0.0370925448883267,-0.243069384092862,"3.62765118085106","-0.185037085983846"
"sub-DE09NS24",38,59,2.85714285714286,2.75,1,21,NA,4.08333333333333,3.41666666666667,3.41666666666667,4,-0.220320883196544,-0.170066182050802,-0.22117610473386,"-4.56548017196286","-0.297622858160845"
"sub-DI05ID08",39,43,2.57142857142857,2.25,2,27,7,3.66666666666667,3.25,4,4.25,-0.773198527781866,-0.809105912555269,-0.770729926284786,"-15.3623809896087","-0.810003475158184"
"sub-DICLRA12",36,44,2,1.5,2,27,NA,3.41666666666667,3,3.41666666666667,2.5,-1.28260126903661,-1.05540616575797,-1.24751496555909,"-16.7736724283904","-1.30470249793095"
"sub-DS08NK08",27,27,1.71428571428571,1.75,2,24,0,4.66666666666667,4.25,4,4.66666666666667,-1.80984672325295,-1.89705974660525,-1.81813118941563,"-35.221770460898","-1.90273895576588"
"sub-DT04NS20",29,35,2.71428571428571,2.75,2,27,NA,3.83333333333333,4.16666666666667,3.83333333333333,3.91666666666667,-0.89665636002737,-1.24298159642202,-0.941772079860573,"-28.0359567716778","-1.0409249398916"
"sub-DT05AH09",47,51,2.71428571428571,2.5,1,30,NA,2.91666666666667,3.91666666666667,3.08333333333333,3.58333333333333,-0.335112049728458,-0.282677047929277,-0.321052535064477,"-4.04797979119924","-0.314087272910944"
"sub-DT05EN16",46,56,2.71428571428571,2.5,2,23,8,4.16666666666667,3.33333333333333,3.75,3.83333333333333,-0.261203805509001,-0.136036150656533,-0.242083419708434,"-1.16003905888436","-0.251447433928298"
"sub-DT05ER18",67,66,3.42857142857143,3.5,2,20,7,3.41666666666667,3.16666666666667,2.33333333333333,3.91666666666667,0.932214495750121,0.982705198872496,0.949871667378091,"20.6759566494154","1.07570398550893"
"sub-DT05EV26",24,37,1.85714285714286,2,2,26,2,4.33333333333333,3.5,3.66666666666667,4,-1.54378108293105,-1.57000221640685,-1.55497733943118,"-30.1297316012822","-1.68071910895321"
"sub-DT06AI20",28,40,2.28571428571429,2.75,2,20,NA,3.83333333333333,3.91666666666667,4.25,4.08333333333333,-1.00015665912902,-1.19568948340909,-1.03556740635567,"-25.1589389768346","-1.13857154696394"
"sub-DT06ER20",49,70,2.57142857142857,2,2,28,NA,3,3,3.41666666666667,3.91666666666667,-0.159356833542779,0.332623645658942,-0.0956221849501145,"10.9422991808331","-0.108935831091207"
"sub-DT07ES22",43,71,2.57142857142857,2.25,2,24,NA,3.41666666666667,4.66666666666667,3.83333333333333,4.58333333333333,-0.176745595999592,0.245768570288341,-0.130968220023822,"7.49163153253475","-0.1884711321511"
"sub-DT09EN16",50,62,3.14285714285714,3.25,2,22,NA,2.91666666666667,4.08333333333333,2.66666666666667,3.25,0.33817598758428,0.34086646183713,0.337053898847399,"5.961114531276","0.345205859244572"
"sub-DT10LF16",61,52,3.28571428571429,3.75,2,29,NA,3.75,4.25,4,3.5,0.576912705729991,0.349784464602397,0.558300557619064,"6.46984319339643","0.670211213179351"
"sub-DTINTZ10",63,59,3.71428571428571,4,1,19,11,3.58333333333333,3.58333333333333,3.83333333333333,4.33333333333333,1.00058219530456,0.762195814246979,0.979785952246409,"12.8987740983118","1.08559819112855"
"sub-EA06AN13",58,73,3.57142857142857,4.5,1,27,NA,3.41666666666667,4.08333333333333,2.58333333333333,3.5,1.26281156531072,1.13612456661258,1.23445096651467,"19.4672011591859","1.28854302265504"
"sub-EA06ER02",42,44,2.57142857142857,3.25,2,19,1,3.58333333333333,3.41666666666667,3.66666666666667,3.5,-0.385039922719171,-0.601875742581641,-0.416275220058656,"-12.5235688639456","-0.421168159850598"
"sub-EA08AS23",60,78,3.28571428571429,3.5,2,19,NA,1.58333333333333,2.25,3.66666666666667,3.25,0.962978192946316,1.18955280889311,0.987157372237551,"24.4018000593318","1.04287677062815"
"sub-EB08IN08",53,65,3.28571428571429,4.25,2,18,18,3.83333333333333,4.08333333333333,3.5,2.83333333333333,0.822641019948186,0.649606146227974,0.788915009344127,"10.237141613238","0.823807144026226"
"sub-EE05RD18",33,50,2.28571428571429,2.5,2,23,2,3.58333333333333,2.91666666666667,3.91666666666667,3.25,-0.797348913870239,-0.757013751773927,-0.801797484965279,"-14.519608664796","-0.887384944554194"
"sub-EE09NG15",55,68,3.57142857142857,2.75,2,25,11,3.25,4.16666666666667,3.58333333333333,3.25,0.565921441733908,0.717102762284155,0.595747749015372,"13.7357092001343","0.612490199645429"
"sub-EH05EJ27",27,41,2.42857142857143,2,2,20,NA,3.75,3.75,4.83333333333333,3.83333333333333,-1.17584375231664,-1.22772395907121,-1.18325865498909,"-25.1600370987511","-1.30972040033166"
"sub-EI04AN16",52,57,2.85714285714286,2.25,2,25,7,3.83333333333333,3.75,4.25,3.5,-0.147508615750977,0.0523284391312845,-0.109330980364128,"3.72784354571295","-0.0821461633943364"
"sub-EK05AN14",49,60,3.42857142857143,3,1,24,NA,3.58333333333333,3.58333333333333,3,4.33333333333333,0.32213039029629,0.28936178700588,0.323631410216988,"3.83031767554069","0.316008889683062"
"sub-EK06ER26",48,61,2.85714285714286,2.5,1,26,10,3.41666666666667,3.75,3.66666666666667,4.5,-0.0711072663845927,0.11674771369748,-0.0437965757351972,"3.8195252842065","-0.0507696406239023"
"sub-EK07CH24",55,72,3.14285714285714,3.25,1,27,NA,2.66666666666667,3.25,3.33333333333333,4.25,0.619114074884986,0.804543902925713,0.639027819337595,"16.6089554696829","0.667906861473393"
"sub-EK08RT09",60,82,3.42857142857143,4,1,27,28,3.75,4.5,3.41666666666667,3.75,1.25271555052554,1.40945899521443,1.26079003169463,"27.2896102455092","1.31200869386277"
"sub-EL03ER14",42,49,2.28571428571429,2.5,2,22,3,3.08333333333333,3.08333333333333,4.16666666666667,4.5,-0.64477769557359,-0.572130261288583,-0.636517869458292,"-8.9724477585106","-0.651726104705142"
"sub-EL03ER22",61,68,3.71428571428571,4.75,2,22,8,2.25,4,3.08333333333333,3.91666666666667,1.36420458677216,1.09628611065408,1.32242705176447,"17.9834004534757","1.40725249148986"
"sub-EL04AM03",69,86,3.57142857142857,4.5,1,22,NA,2.58333333333333,3.41666666666667,4.25,4.16666666666667,1.7136092494985,1.84844529851973,1.71961143515214,"36.441368326543","1.83496803400764"
"sub-EL04ND25",33,43,3.28571428571429,2.5,1,25,6,3.75,3.33333333333333,3.91666666666667,3.33333333333333,-0.513491507800576,-0.764576307324801,-0.538044353433355,"-19.5116307306918","-0.640563276520958"
"sub-EL04NS07",53,44,2.85714285714286,3,1,29,NA,4.16666666666667,4.91666666666667,4.5,3.66666666666667,-0.135706818621343,-0.292880341770309,-0.142961126368283,"-4.86886121606408","-0.0755914194093677"
"sub-EL04RS28",60,62,3,2.75,1,24,9,4.08333333333333,3.58333333333333,4.41666666666667,4.5,0.3129528350531,0.501169133714781,0.348823024475663,"12.900394404778","0.430778707488375"
"sub-EL05EL12",32,29,1.57142857142857,2.75,2,18,NA,3.75,4.58333333333333,3.91666666666667,4.33333333333333,-1.42420443366827,-1.64006474111204,-1.46020244775746,"-30.2778239047421","-1.49275778610203"
"sub-EL05JO26",30,39,2.42857142857143,2.25,1,20,7,2.91666666666667,4,4.08333333333333,4.33333333333333,-1.07783154267098,-1.19808879695374,-1.09314333154269,"-24.4971178179058","-1.18993401566491"
"sub-EL05KE15",49,34,2.85714285714286,3.75,1,22,0,3.66666666666667,2.91666666666667,3.41666666666667,3.75,-0.163236508530306,-0.657210419278202,-0.21974652244791,"-14.7951760648264","-0.155546175857603"
"sub-EL05NK07",30,47,2.42857142857143,2.25,1,23,NA,3.91666666666667,2.91666666666667,4.5,4.58333333333333,-0.929150557894295,-0.924515784964641,-0.933870303595165,"-18.7628219093386","-1.04458539917529"
"sub-EL06EL11",47,61,3.28571428571429,3.75,1,21,8,4.16666666666667,3.25,3.66666666666667,4,0.477935615880172,0.31676281000394,0.449411334503807,"3.17700714298021","0.438885758203102"
"sub-EL06ER17",67,70,3.57142857142857,4.25,1,21,6,3.75,2.83333333333333,4.33333333333333,4.33333333333333,1.30008219537127,1.22761309464723,1.29170832593498,"23.5722774619612","1.41635030856262"
"sub-EL06KO12",57,57,3.57142857142857,3.25,1,25,5,4.41666666666667,4,4.16666666666667,4.41666666666667,0.555780514281759,0.439627760146863,0.554308388009453,"7.26006199967027","0.612070744257087"
"sub-EL06LD17",67,62,2.71428571428571,3.75,2,24,NA,3.33333333333333,4.41666666666667,2.83333333333333,2.83333333333333,0.640323439868515,0.705339095231657,0.650498416085555,"17.7991144257141","0.807400000324876"
"sub-EL06NG11",31,45,2.42857142857143,2.5,2,24,NA,3.33333333333333,3.83333333333333,3.58333333333333,3.83333333333333,-0.869173090780571,-0.943565093288057,-0.884908034371084,"-19.4918910495725","-0.981205107155261"
"sub-EL06ST21",34,65,2.57142857142857,2.5,2,22,NA,3.08333333333333,3.41666666666667,2.5,3.25,-0.381282333933915,-0.153489596234046,-0.367407735885088,"-3.0645276673786","-0.479795611609487"
