"ID","Personality_PTM_Altruism","Personality_AGG_Anger","Personality_NFC_NeedForCognition","Personality_RSTPQ_BIS","Personality_BISBAS_BIS","Personality_BFI_Anxiety","Personality_PSWQ_Concerns","Personality_AVBIS","Covariate_Gender","Covariate_Age","Covariate_BDI_Depression","Covariate_BFI_Extraversion","Covariate_BFI_OpenMindedness","Covariate_BFI_Conscientiousness","Covariate_BFI_Agreeableness","Covariate_BFI_NegativeEmotionality","Personality_Z_sum","Personality_Z_AV_notweighted","Personality_Z_AV_ItemNr","Personality_Z_AV_Reliability","Personality_PCA","Personality_FactorAnalysis"
"sub-CH07NK17",1.8,20,81,76,3.42857142857143,3.75,65,39.7142857142857,1,26,22,2.58333333333333,4.66666666666667,2.75,4,3.91666666666667,4.63264530492384,1.15816132623096,1.3009887028714,1.18008632108748,"26.4603487404135","1.2724980632933"
"sub-CH07RK18",1.2,17,86,73,3,4.25,74,38,1,22,17,3.75,4.25,4.33333333333333,3.75,3.58333333333333,5.0096577563847,1.25241443909617,1.36813357500648,1.47644426812018,"30.5800339848222","1.4545621026031"
"sub-CH07US17",1.6,10,71,47,3,3,51,25,1,30,4,3.58333333333333,4,4,3.91666666666667,2.5,-0.235400043019967,-0.0588500107549918,-0.205858671295342,0.185929177772746,"-4.10684769227338","-0.024062965520828"
"sub-CH08LO21",2,9,82,56,2.42857142857143,1.75,38,29.2142857142857,2,24,NA,3.16666666666667,4.16666666666667,4.08333333333333,3.83333333333333,2.08333333333333,-3.06402465590644,-0.766006163976611,-0.472011683620199,-0.818986501253211,"-6.7608065806205","-0.798472634675737"
"sub-CH09AS13",2,16,85,51,3,3,43,27,1,24,2,4,4,4.25,4.33333333333333,2.5,-0.546593953977658,-0.136648488494414,-0.263810047064331,-0.152697281891891,"-6.80765342230652","-0.177013027862913"
"sub-CH09EN08",1,11,85,44,2.57142857142857,3,51,23.2857142857143,2,29,0,3.08333333333333,3.16666666666667,3.66666666666667,4.58333333333333,2.83333333333333,-1.16805569346944,-0.292013923367361,-0.407797335051076,0.000644603992271106,"-6.26813159545768","-0.238855142759423"
"sub-CH09WE03",1.8,11,78,59,2.85714285714286,2.75,51,30.9285714285714,2,22,NA,3,3.5,4.08333333333333,3.41666666666667,2.58333333333333,0.10761977304429,0.0269049432610726,0.146382875814948,0.111727802140806,"4.48244456505182","0.0690167440428554"
"sub-CH10ER14",2.4,9,78,44,2.57142857142857,3,38,23.2857142857143,2,23,NA,2.58333333333333,3.33333333333333,4.25,4,2.33333333333333,-2.15695899929991,-0.539239749824978,-0.724246392916826,-0.565779207241065,"-15.3160563324723","-0.605494744963122"
"sub-CH10NG24",1.2,17,92,50,2.28571428571429,2.25,40,26.1428571428571,1,21,NA,3.16666666666667,3.25,3.58333333333333,3.41666666666667,2.25,-2.96943062820148,-0.74235765705037,-0.611619814684246,-0.716530491296316,"-9.65615981738722","-0.761478020109737"
"sub-CK04NS18",1.4,12,91,64,3.71428571428571,3.75,70,33.8571428571429,1,22,NA,3.75,4.58333333333333,4.75,4.66666666666667,3.16666666666667,4.59399627043944,1.14849906760986,1.07857288382984,1.48666754384171,"21.3461578885751","1.30234800087901"
"sub-CK05EN08",1.8,10,62,44,2.57142857142857,3,34,23.2857142857143,1,25,NA,2.91666666666667,4.16666666666667,4,4.41666666666667,2.08333333333333,-2.46123693955544,-0.61530923488886,-0.821615333798595,-0.740063456851322,"-18.1000331746307","-0.718306930256568"
"sub-CK05EN28",1.8,11,66,59,2.42857142857143,3.25,45,30.7142857142857,2,21,NA,3.33333333333333,3.66666666666667,2.75,3.41666666666667,2.83333333333333,-0.433388574288057,-0.108347143572014,-0.0490159008606969,-0.238023657198045,"0.312577617079343","-0.117459180314154"
"sub-CK05ER27",2,14,54,65,3.42857142857143,3.25,61,34.2142857142857,1,22,NA,3.58333333333333,3.41666666666667,4.16666666666667,3.25,2.91666666666667,2.88557921206115,0.721394803015288,0.777453451597789,0.888958503508456,"15.7746937712386","0.816802730688482"
"sub-CK05RD15",2,9,50,56,1.85714285714286,2,23,28.9285714285714,2,26,NA,2.91666666666667,3.83333333333333,3.25,3.75,1.75,-4.83872446140957,-1.20968111535239,-0.944608548153181,-1.66490501651471,"-17.2067730289748","-1.36371919111374"
"sub-CK06ED08",2.2,13,104,68,3.57142857142857,3,50,35.7857142857143,1,25,9,2.16666666666667,5,2.91666666666667,4.58333333333333,2.41666666666667,2.19585970978392,0.54896492744598,0.62039329563536,0.431657881856626,"10.2642487738046","0.542989367847698"
"sub-CK06IN16",1.8,10,76,76,2.85714285714286,2.25,32,39.4285714285714,2,20,23,2.16666666666667,3.66666666666667,1.83333333333333,3.16666666666667,2.25,-0.698954808903058,-0.174738702225764,0.215219638196545,-0.76337167458554,"3.42691211776815","-0.301004125698732"
"sub-CK06ST11",1.2,20,66,71,3.14285714285714,4,57,37.0714285714286,2,23,4,3.75,4.08333333333333,2.58333333333333,3.83333333333333,3.25,3.49181888178246,0.872954720445616,0.894036875228208,0.745289722608122,"17.3096887812962","0.920687576516142"
"sub-CK06US15",1.8,15,77,54,3.42857142857143,3,60,28.7142857142857,1,19,7,4.16666666666667,3.66666666666667,4.41666666666667,3.75,2.66666666666667,1.67924294255781,0.419810735639454,0.351946615438922,0.773295352732178,"7.18553206005081","0.517230936872827"
"sub-CK07ER13",2,9,88,33,1.85714285714286,1.5,27,17.4285714285714,2,27,NA,4.33333333333333,4.91666666666667,2.91666666666667,4.33333333333333,1.16666666666667,-6.8693205824213,-1.71733014560532,-1.6837654356469,-1.63729045354085,"-30.9259181766837","-1.81181307786608"
"sub-CK07NK21",1.6,19,83,76,4,4.5,68,40,1,24,NA,3.25,3.83333333333333,3.5,3.08333333333333,4.25,6.74459676233117,1.68614919058279,1.58148558257274,1.68215800589841,"28.5884271677661","1.78536566312726"
"sub-CZ05ND22",2,15,74,54,3,3.25,52,28.5,1,26,1,4.16666666666667,2.66666666666667,3,3.58333333333333,2.75,0.673574256930005,0.168393564232501,0.0828616588689766,0.291650288993147,"1.61516606463082","0.20283452005002"
"sub-DA06AN05",2.6,18,75,72,2.85714285714286,3.5,52,37.4285714285714,2,26,7,3.5,3.16666666666667,2.91666666666667,3.33333333333333,3.08333333333333,2.08767976365971,0.521919940914927,0.690286383877921,0.321864931885125,"14.5222015061181","0.547954491619063"
"sub-DA08AN22",1.6,9,69,65,2.85714285714286,3.5,40,33.9285714285714,1,20,NA,3.58333333333333,3.5,4.33333333333333,3.91666666666667,2.75,0.65446249617473,0.163615624043683,0.158803175742153,-0.218386386168432,"1.15276205964672","0.0823378963103137"
"sub-DADARE11",2,16,68,49,2.42857142857143,3.25,24,25.7142857142857,2,25,1,2.83333333333333,3.75,2.16666666666667,2.83333333333333,2.75,-2.774252684513,-0.69356317112825,-0.902169105476357,-1.17787106654159,"-21.471170689961","-0.891408923716761"
"sub-DE04LD04",1.4,11,75,40,2.28571428571429,2,34,21.1428571428571,2,25,NA,3.66666666666667,3.08333333333333,3.66666666666667,4,2,-4.48177383063589,-1.12044345765897,-1.12464120044669,-1.04756344419645,"-21.0085055927021","-1.183896468481"
"sub-DE05LI03",2,15,100,60,2.71428571428571,3,43,31.3571428571429,2,21,7,4,3.41666666666667,3.66666666666667,4.25,2.5,-0.350618971338888,-0.0876547428347221,-0.0222729314164797,-0.248879722300213,"-0.363852483482871","-0.120353465015426"
"sub-DE06EM24",1.2,15,85,53,2.85714285714286,1.75,56,27.9285714285714,2,29,10,4.16666666666667,4.66666666666667,4.08333333333333,3.08333333333333,2.08333333333333,-1.20816122863714,-0.302040307159285,-0.0370925448883267,0.135664136439606,"3.62765118085105","-0.185037085983846"
"sub-DE09NS24",1.8,13,68,59,2.85714285714286,2.75,38,30.9285714285714,1,21,NA,4.08333333333333,3.41666666666667,3.41666666666667,4,2,-0.881283532786178,-0.220320883196544,-0.170066182050802,-0.45469600909253,"-4.56548017196285","-0.297622858160843"
"sub-DI05ID08",1.2,9,72,43,2.57142857142857,2.25,39,22.7857142857143,2,27,7,3.66666666666667,3.25,4,4.25,2.08333333333333,-3.09279411112746,-0.773198527781866,-0.809105912555269,-0.658948093512624,"-15.3623809896087","-0.810003475158186"
"sub-DICLRA12",3.4,12,70,44,2,1.5,36,23,2,27,NA,3.41666666666667,3,3.41666666666667,2.5,1.66666666666667,-5.13040507614646,-1.28260126903661,-1.05540616575797,-1.15853426843459,"-16.7736724283904","-1.30470249793094"
"sub-DS08NK08",3.2,8,57,27,1.71428571428571,1.75,27,14.3571428571429,2,24,0,4.66666666666667,4.25,4,4.66666666666667,1.58333333333333,-7.23938689301181,-1.80984672325295,-1.89705974660525,-1.66672804798414,"-35.221770460898","-1.90273895576588"
"sub-DT04NS20",1,8,73,35,2.71428571428571,2.75,29,18.8571428571429,2,27,NA,3.83333333333333,4.16666666666667,3.83333333333333,3.91666666666667,2.08333333333333,-3.58662544010948,-0.89665636002737,-1.24298159642202,-0.965763822755397,"-28.0359567716779","-1.0409249398916"
"sub-DT05AH09",1,14,73,51,2.71428571428571,2.5,47,26.8571428571429,1,30,NA,2.91666666666667,3.91666666666667,3.08333333333333,3.58333333333333,2.83333333333333,-1.34044819891383,-0.335112049728458,-0.282677047929277,-0.186468020880782,"-4.04797979119924","-0.314087272910944"
"sub-DT05EN16",2.6,10,73,56,2.71428571428571,2.5,46,29.3571428571429,2,23,8,4.16666666666667,3.33333333333333,3.75,3.83333333333333,2,-1.044815222036,-0.261203805509001,-0.136036150656533,-0.2176115338385,"-1.16003905888436","-0.251447433928297"
"sub-DT05ER18",1.8,15,71,66,3.42857142857143,3.5,67,34.7142857142857,2,20,7,3.41666666666667,3.16666666666667,2.33333333333333,3.91666666666667,2.83333333333333,3.72885798300049,0.932214495750121,0.982705198872496,1.19762186740786,"20.6759566494154","1.07570398550893"
"sub-DT05EV26",1,13,82,37,1.85714285714286,2,24,19.4285714285714,2,26,2,4.33333333333333,3.5,3.66666666666667,4,2.08333333333333,-6.17512433172418,-1.54378108293105,-1.57000221640685,-1.66855864200256,"-30.1297316012823","-1.68071910895321"
"sub-DT06AI20",1.4,11,81,40,2.28571428571429,2.75,28,21.1428571428571,2,20,NA,3.83333333333333,3.91666666666667,4.25,4.08333333333333,2,-4.00062663651609,-1.00015665912902,-1.19568948340909,-1.17473537982668,"-25.1589389768346","-1.13857154696394"
"sub-DT06ER20",2.6,12,86,70,2.57142857142857,2,49,36.2857142857143,2,28,NA,3,3,3.41666666666667,3.91666666666667,2.08333333333333,-0.637427334171115,-0.159356833542779,0.332623645658942,-0.200880182079861,"10.9422991808331","-0.108935831091201"
"sub-DT07ES22",1.6,10,105,71,2.57142857142857,2.25,43,36.7857142857143,2,24,NA,3.41666666666667,4.66666666666667,3.83333333333333,4.58333333333333,2.5,-0.706982383998368,-0.176745595999592,0.245768570288341,-0.415069567011226,"7.49163153253476","-0.188471132151093"
"sub-DT09EN16",1.2,11,92,62,3.14285714285714,3.25,50,32.5714285714286,2,22,NA,2.91666666666667,4.08333333333333,2.66666666666667,3.25,2.91666666666667,1.35270395033712,0.33817598758428,0.34086646183713,0.283668258004294,"5.961114531276","0.345205859244573"
